version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 372487155407 eni-0a85d33e8715c75be 91.229.112.16 172.31.32.166 57693 16444 6 1 40 1599505493 1599505543 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 181.10.47.219 172.31.32.166 58206 445 6 1 52 1599505493 1599505543 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.15 172.31.32.166 46155 3822 6 1 40 1599505493 1599505543 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 193.27.228.156 172.31.32.166 56881 3506 6 1 40 1599505493 1599505543 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 94.102.51.95 172.31.32.166 54697 27135 6 1 40 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.19 172.31.32.166 59258 8065 6 1 40 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 68.183.80.250 172.31.32.166 59055 24016 6 1 40 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 209.17.97.10 172.31.32.166 62683 465 6 1 44 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 109.201.140.103 172.31.32.166 42126 3389 17 1 44 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 94.102.51.95 172.31.32.166 54697 37561 6 1 40 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 159.146.36.30 172.31.32.166 60376 445 6 2 104 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 162.243.129.68 172.31.32.166 53361 22 6 1 40 1599505545 1599505603 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 71.6.232.7 172.31.32.166 55638 443 6 1 40 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 185.176.27.26 172.31.32.166 42203 38582 6 1 40 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 152.136.104.57 172.31.32.166 45973 4098 6 1 40 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 46.101.181.165 172.31.32.166 55390 24720 6 1 40 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 162.243.129.68 22 53361 6 6 264 1599505545 1599505603 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 78.128.113.42 172.31.32.166 48774 9966 6 1 40 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 209.17.96.170 172.31.32.166 59411 6379 6 1 44 1599505545 1599505603 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 185.53.91.35 172.31.32.166 5078 5060 17 1 437 1599505614 1599505663 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.57 172.31.32.166 50637 33336 6 1 40 1599505614 1599505663 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 83.97.20.35 172.31.32.166 51052 8334 6 1 40 1599505614 1599505663 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.8 172.31.32.166 44322 32468 6 1 40 1599505614 1599505663 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 194.26.25.102 172.31.32.166 55922 3392 6 1 40 1599505614 1599505663 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 180.76.242.233 172.31.32.166 51344 4310 6 1 40 1599505614 1599505663 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 61.219.11.153 172.31.32.166 61035 2869 6 1 40 1599505614 1599505663 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 67.227.152.142 172.31.32.166 32767 8545 6 1 40 1599505687 1599505723 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 128.199.158.12 172.31.32.166 56110 8103 6 1 40 1599505687 1599505723 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 45.129.33.16 172.31.32.166 45741 17606 6 1 40 1599505687 1599505723 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 185.176.27.102 172.31.32.166 44726 38589 6 1 40 1599505687 1599505723 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 39.100.156.159 22 35507 6 2 80 1599505738 1599505783 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 39.100.156.159 172.31.32.166 35509 36350 6 4 240 1599505738 1599505783 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 39.100.156.159 22 35503 6 2 104 1599505738 1599505783 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 172.31.32.166 39.100.156.159 22 51598 6 3 205 1599505738 1599505783 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 39.100.156.159 172.31.32.166 35510 31776 6 4 240 1599505738 1599505783 REJECT OK
2 372487155407 eni-0a85d33e8715c75be 39.100.156.159 172.31.32.166 35494 22 6 4 192 1599505738 1599505783 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 39.100.156.159 172.31.32.166 35507 22 6 2 120 1599505738 1599505783 ACCEPT OK
2 372487155407 eni-0a85d33e8715c75be 39.100.156.159 172.31.32.166 35503 22 6 4 184 1599505738 1599505783 ACCEPT OK
